epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6063,1.35924,1.56228,1.24959,0.52716,0.60023,0.52407,0.29577,1.36644,2.22172,1.41175,0.000411325,0.000411325,0.000411325
2,105.481,1.40928,1.24638,1.28926,0.43758,0.51697,0.46185,0.24075,1.80934,1.91391,1.73948,0.000819794,0.000819794,0.000819794
3,157.055,1.44642,1.25031,1.31036,0.52412,0.54697,0.52203,0.30424,1.45583,1.82286,1.45871,0.00122001,0.00122001,0.00122001
4,208.756,1.40092,1.20315,1.31062,0.65133,0.56777,0.61826,0.34657,1.43451,1.36732,1.39554,0.00121287,0.00121287,0.00121287
5,260.468,1.39136,1.15335,1.28511,0.58948,0.66065,0.65226,0.3467,1.52196,1.71571,1.46578,0.0012005,0.0012005,0.0012005
6,312.109,1.38718,1.12359,1.27729,0.77952,0.64204,0.7012,0.40951,1.3829,1.13792,1.3785,0.00118812,0.00118812,0.00118812
7,363.858,1.3611,1.06361,1.27909,0.66599,0.65345,0.67219,0.40359,1.38369,1.33405,1.38447,0.00117575,0.00117575,0.00117575
8,415.36,1.3343,1.0418,1.24643,0.75127,0.69359,0.77374,0.47614,1.29324,0.99487,1.28903,0.00116337,0.00116337,0.00116337
9,467.077,1.32683,0.99437,1.24923,0.73138,0.77631,0.8099,0.51038,1.23647,0.9551,1.25307,0.001151,0.001151,0.001151
10,518.791,1.3017,0.9711,1.23823,0.80498,0.70731,0.81743,0.50319,1.23983,0.90476,1.26351,0.00113863,0.00113863,0.00113863
11,570.3,1.2756,0.92704,1.22365,0.83477,0.74308,0.85915,0.55499,1.26861,0.87383,1.2877,0.00112625,0.00112625,0.00112625
12,621.974,1.28268,0.92213,1.22674,0.77581,0.76641,0.82897,0.52615,1.24199,0.86893,1.25412,0.00111388,0.00111388,0.00111388
13,673.468,1.27674,0.90585,1.22734,0.76369,0.79387,0.8369,0.52969,1.24368,0.88387,1.26033,0.0011015,0.0011015,0.0011015
14,724.991,1.2675,0.88945,1.21187,0.72394,0.73873,0.77875,0.49529,1.19399,0.87967,1.22207,0.00108913,0.00108913,0.00108913
15,776.497,1.24599,0.86397,1.20452,0.7767,0.77964,0.84217,0.5528,1.20018,0.79752,1.22932,0.00107675,0.00107675,0.00107675
16,828.02,1.24112,0.87783,1.20212,0.8295,0.79288,0.87934,0.56908,1.1602,0.77817,1.19715,0.00106437,0.00106437,0.00106437
